test,traditional,Lewis,One,Fifty
avg1st,442.28 ± 1.3,412.234 ± 1.2,289.54 ± 1.5,9168.729 ± 107.0
avg2nd,425.526 ± 1.3,396.789 ± 1.1,278.723 ± 1.5,8839.967 ± 101.8
percDif,18.243 ± 0.3%,19.203 ± 0.3%,29.9 ± 0.5%,14.637 ± 1.3%
percDifBingoEqual,11.324 ± 0.4%,11.118 ± 0.4%,10.609 ± 0.4%,12.995 ± 1.6%
percDifBingoUnequal,20.514 ± 0.4%,21.628 ± 0.3%,35.436 ± 0.6%,16.312 ± 1.9%
avgBingoDif,1.268 ± 0.0,1.3 ± 0.0,1.395 ± 0.0,0.605 ± 0.1
percWinner1st,56.978992138162134,56.21202597946784,54.45642917967641,55.51839464882943
percWinner1stBingoEqual,57.61209593326382,57.87562414888788,52.13239974538511,48.34437086092716
percWinner1stBingoUnequal,56.771100838897446,55.712923873076406,55.141552511415526,41.21621621621622
percBingoEqual,24.719680371181855,23.07772889168238,22.296338347998866,50.50167224080268
